id,Original_instruction,Sequence_of_previous_action,Admissiable_action,Logits_from_LLM,optimal_action
,,,,,
63,,['reset'],[],[],
63,"i am looking for a kahuna colored capri pant that has a relaxed fit and is in a size 20 plus, and price lower than 90.00 dollars","['reset', 'search[kahuna colored capri pant relaxed fit size 20 plus]']","['search[kahuna colored capri pant relaxed fit plus size 20 dollars less than 90 ]', 'think', '[', 'search[kahuna relaxed fit 20 plus]', 'search[kahuna capri pant size 20 plus relaxed fit]', 'search[Release colored capri pant size 20 plus price under 90.00]', 'search[kahuna colored capri pant relaxed fit]', 'search[kahuna capri size 20 plus price under 90$]', 'search[kahuna colored capri pant relaxed fit 20+]', 'search[kahuna colored capri pant relaxed fit size 20 plus]']","[[-0.28534987568855286, -0.16494899988174438, -0.0003036991402041167, -0.00010215714428341016, -0.9148563146591187, -0.0580148845911026, -0.017591286450624466, -0.026675544679164886, -0.16004563868045807, -0.11754871904850006, -2.437131643295288, -0.34016454219818115, -0.12336032837629318, -0.007397403009235859, -0.00249396450817585, -4.107430458068848, -2.40616512298584, -0.34613877534866333, -0.0322558619081974, -0.014664835296571255, -0.0025486627127975225, -3.9043235778808594], [-3.44256329536438, -2.8157262802124023], [-9.2550630569458], [-0.3175632953643799, -0.15211449563503265, -0.00028153270250186324, -9.30981186684221e-05, -2.0067975521087646, -0.2463250607252121, -1.612311601638794, -0.015359686687588692, -0.0044972943142056465, -0.17726868391036987, -0.5127619504928589], [-0.3175632953643799, -0.15211449563503265, -0.00028153270250186324, -9.30981186684221e-05, -1.3817975521087646, -0.025935199111700058, -0.11243347078561783, -1.8081512451171875, -0.04924267157912254, -0.0041848947294056416, -0.005077562294900417, -0.15605387091636658, -1.0757999420166016, -0.12793269753456116, -0.7150179147720337], [-0.3175632953643799, -2.4021143913269043, -9.2822847366333, -2.362635612487793, -0.18559646606445312, -0.024319075047969818, -0.07974713295698166, -1.57119619846344, -0.06325151771306992, -0.007220838218927383, -0.006731926463544369, -0.14582298696041107, -0.28911668062210083, -0.4628981947898865, -0.007039862219244242, -0.015848975628614426, -0.0018309272127225995, -1.309342861175537, -0.007502948399633169, -0.026825612410902977, -0.9565715193748474], [-0.3175632953643799, -0.15211449563503265, -0.00028153270250186324, -9.30981186684221e-05, -0.8817974925041199, -0.05916926637291908, -0.01977105252444744, -0.026753541082143784, -0.15911129117012024, -0.10171933472156525, -4.312078952789307], [-0.3175632953643799, -0.15211449563503265, -0.00028153270250186324, -9.30981186684221e-05, -1.3817975521087646, -0.025935199111700058, -5.112433433532715, -0.07009994983673096, -0.007702294737100601, -0.0072045051492750645, -0.28722718358039856, -1.1945703029632568, -0.5251562595367432, -0.006559388712048531, -0.011483050882816315, -0.0015267394483089447, -0.7027916312217712, -0.07971961796283722], [-0.3175632953643799, -0.15211449563503265, -0.00028153270250186324, -9.30981186684221e-05, -0.8817974925041199, -0.05916926637291908, -0.01977105252444744, -0.026753541082143784, -0.15911129117012024, -0.10171933472156525, -1.562078833580017, -0.017131561413407326, -0.003358677960932255, -2.989480495452881, -0.5877645015716553], [-0.3175632953643799, -0.15211449563503265, -0.00028153270250186324, -9.30981186684221e-05, -0.8817974925041199, -0.05916926637291908, -0.01977105252444744, -0.026753541082143784, -0.15911129117012024, -0.10171933472156525, -0.4370788037776947, -0.0163485798984766, -0.002547235693782568, -0.0028329261112958193, -0.10553038865327835, -0.5178810358047485]]","search[kahuna colored capri pant relaxed fit size 20 plus]
"
63,"i am looking for a kahuna colored capri pant that has a relaxed fit and is in a size 20 plus, and price lower than 90.00 dollars","['reset', 'search[kahuna colored capri pant relaxed fit size 20 plus]', 'click[B08SQHTMPR]']","['click[B08SQHTMPR]', 'click[B08SQHTMPR]', 'click[B08SQHTMPR]', 'click[B08SQHTMPR]', 'click[B08SQHTMPR]', 'click[B08SQHTMPR]', 'click[B08SQHTMPR]', 'click[B08SQHTMPR]', 'click[B08SQHTMPR]', 'click[B08SQHTMPR]']","[[-0.008840941824018955, -0.008225374855101109, -3.4450891689630225e-05, -0.0005287918029353023, -0.003035701345652342, -1.6927575416048057e-05, -2.4318398573086597e-05, -0.00024911639047786593, -0.008016672916710377], [-0.008840941824018955, -0.008225374855101109, -3.4450891689630225e-05, -0.0005287918029353023, -0.003035701345652342, -1.6927575416048057e-05, -2.4318398573086597e-05, -0.00024911639047786593, -0.008016672916710377], [-0.008840941824018955, -0.008225374855101109, -3.4450891689630225e-05, -0.0005287918029353023, -0.003035701345652342, -1.6927575416048057e-05, -2.4318398573086597e-05, -0.00024911639047786593, -0.008016672916710377], [-0.008840941824018955, -0.008225374855101109, -3.4450891689630225e-05, -0.0005287918029353023, -0.003035701345652342, -1.6927575416048057e-05, -2.4318398573086597e-05, -0.00024911639047786593, -0.008016672916710377], [-0.008840941824018955, -0.008225374855101109, -3.4450891689630225e-05, -0.0005287918029353023, -0.003035701345652342, -1.6927575416048057e-05, -2.4318398573086597e-05, -0.00024911639047786593, -0.008016672916710377], [-0.008840941824018955, -0.008225374855101109, -3.4450891689630225e-05, -0.0005287918029353023, -0.003035701345652342, -1.6927575416048057e-05, -2.4318398573086597e-05, -0.00024911639047786593, -0.008016672916710377], [-0.008840941824018955, -0.008225374855101109, -3.4450891689630225e-05, -0.0005287918029353023, -0.003035701345652342, -1.6927575416048057e-05, -2.4318398573086597e-05, -0.00024911639047786593, -0.008016672916710377], [-0.008840941824018955, -0.008225374855101109, -3.4450891689630225e-05, -0.0005287918029353023, -0.003035701345652342, -1.6927575416048057e-05, -2.4318398573086597e-05, -0.00024911639047786593, -0.008016672916710377], [-0.008840941824018955, -0.008225374855101109, -3.4450891689630225e-05, -0.0005287918029353023, -0.003035701345652342, -1.6927575416048057e-05, -2.4318398573086597e-05, -0.00024911639047786593, -0.008016672916710377], [-0.008840941824018955, -0.008225374855101109, -3.4450891689630225e-05, -0.0005287918029353023, -0.003035701345652342, -1.6927575416048057e-05, -2.4318398573086597e-05, -0.00024911639047786593, -0.008016672916710377]]", click[B08SQHTMPR]
63,"i am looking for a kahuna colored capri pant that has a relaxed fit and is in a size 20 plus, and price lower than 90.00 dollars","['reset', 'search[kahuna colored capri pant relaxed fit size 20 plus]', 'click[B08SQHTMPR]', 'click[2]']","['click[2]', 'click[2]', 'click[2]', 'click[14]', 'click[20 plus]', 'click[2]', 'click[2 plus]', 'click[20 plus]', 'click[2]', 'click[2]']","[[-0.01287951972335577, -0.02129884995520115, -0.10365419089794159, -0.44484013319015503], [-0.013846060261130333, -0.020479418337345123, -0.10418441891670227, -0.4463048577308655], [-0.013846060261130333, -0.020479418337345123, -0.10418441891670227, -0.4463048577308655], [-0.013846060261130333, -0.020479418337345123, -2.97918438911438, -0.7220431566238403, -1.5946247577667236], [-0.013846060261130333, -0.020479418337345123, -0.10418441891670227, -1.4463047981262207, -0.022775379940867424, -0.018727978691458702], [-0.013846060261130333, -0.020479418337345123, -0.10418441891670227, -0.4463048577308655], [-0.013846060261130333, -0.020479418337345123, -0.10418441891670227, -4.946304798126221, -0.051800668239593506], [-0.013846060261130333, -0.020479418337345123, -0.10418441891670227, -1.4463047981262207, -0.022775379940867424, -0.018727978691458702], [-0.013846060261130333, -0.020479418337345123, -0.10418441891670227, -0.4463048577308655], [-0.013846060261130333, -0.020479418337345123, -0.10418441891670227, -0.4463048577308655]]",click[20 plus]
63,"i am looking for a kahuna colored capri pant that has a relaxed fit and is in a size 20 plus, and price lower than 90.00 dollars","['reset', 'search[kahuna colored capri pant relaxed fit size 20 plus]', 'click[B08SQHTMPR]', 'click[2]', 'click[kahuna]']","['click[kahuna]', 'click[kahuna]', 'click[kahuna]', 'click[kahuna]', 'click[kahuna]', 'click[kahuna]', 'click[kahuna]', 'click[kahuna]', 'click[kahuna]', 'click[kahuna]']","[[-0.016703277826309204, -0.156163290143013, -5.1377883210079744e-05, -2.622600959512056e-06, -0.05905262753367424], [-0.018709493800997734, -0.13998600840568542, -5.0424259825376794e-05, -3.2186455882765586e-06, -0.06350237131118774], [-0.018709493800997734, -0.13998600840568542, -5.0424259825376794e-05, -3.2186455882765586e-06, -0.06350237131118774], [-0.018709493800997734, -0.13998600840568542, -5.0424259825376794e-05, -3.2186455882765586e-06, -0.06350237131118774], [-0.018709493800997734, -0.13998600840568542, -5.0424259825376794e-05, -3.2186455882765586e-06, -0.06350237131118774], [-0.018709493800997734, -0.13998600840568542, -5.0424259825376794e-05, -3.2186455882765586e-06, -0.06350237131118774], [-0.018709493800997734, -0.13998600840568542, -5.0424259825376794e-05, -3.2186455882765586e-06, -0.06350237131118774], [-0.018709493800997734, -0.13998600840568542, -5.0424259825376794e-05, -3.2186455882765586e-06, -0.06350237131118774], [-0.018709493800997734, -0.13998600840568542, -5.0424259825376794e-05, -3.2186455882765586e-06, -0.06350237131118774], [-0.018709493800997734, -0.13998600840568542, -5.0424259825376794e-05, -3.2186455882765586e-06, -0.06350237131118774]]",click[kahuna]
63,"i am looking for a kahuna colored capri pant that has a relaxed fit and is in a size 20 plus, and price lower than 90.00 dollars","['reset', 'search[kahuna colored capri pant relaxed fit size 20 plus]', 'click[B08SQHTMPR]', 'click[2]', 'click[kahuna]', 'click[Buy Now]']","['click[Buy Now]', 'click[Buy Now]', 'click[Buy Now]', 'click[Buy Now]', 'click[Buy Now]', 'click[Buy Now]', 'click[Buy Now]', 'click[Buy Now]', 'click[Buy Now]', 'click[Buy Now]']","[[-0.008196880109608173, -0.014627831056714058, -0.008363579399883747, -0.0005335576133802533, -0.4501609802246094, -0.06282675266265869], [-0.00893511064350605, -0.01428602822124958, -0.0086303586140275, -0.0005401106318458915, -0.48168742656707764, -0.06135834380984306], [-0.00893511064350605, -0.01428602822124958, -0.0086303586140275, -0.0005401106318458915, -1.8566874265670776], [-0.00893511064350605, -0.01428602822124958, -0.0086303586140275, -0.0005401106318458915, -0.48168742656707764, -0.06135834380984306], [-0.00893511064350605, -0.01428602822124958, -0.0086303586140275, -0.0005401106318458915, -0.48168742656707764, -0.06135834380984306], [-0.00893511064350605, -0.01428602822124958, -0.0086303586140275, -0.0005401106318458915, -3.231687545776367], [-0.00893511064350605, -0.01428602822124958, -0.0086303586140275, -0.0005401106318458915, -0.48168742656707764, -0.06135834380984306], [-0.00893511064350605, -0.01428602822124958, -0.0086303586140275, -0.0005401106318458915, -2.231687545776367], [-0.00893511064350605, -0.01428602822124958, -0.0086303586140275, -0.0005401106318458915, -2.231687545776367], [-0.00893511064350605, -0.01428602822124958, -0.0086303586140275, -0.0005401106318458915, -0.48168742656707764, -0.06135834380984306]]",click[Buy Now]
,,,,,
64,,['reset'],[],[],
64,"get a tongue cleaner that is easy clean and use, and is also stainless steel, and price lower than 30.00 dollars","['reset', 'search[get a tongue cleaner easy clean use stainless steel]']","['search[stainless steel easy clean tongue cleaner]', 'search[get a tongue cleaner easy clean use stainless steel]', '', 'search[get a tongue cleaner easy clean, use, stainless steel]', 'search[stainless steel easy clean tongue cleaner under 30.00 dollars]', 'search[stainless steel easy clean use tongue cleaner]', 'search[easy clean tongue cleaner stainless steel price lower then 30 dolars]', 'search[get a tongue cleaner that is easy clean and use, and is also stainless steel, and price lower than 30.00 dollars]', 'search[easy clean stainless steel tongue cleaner]', 'search[get a tongue cleaner easy clean stainless steel]']","[[-0.3208298981189728, -0.5487874746322632, -1.1458708047866821, -0.0013830630341544747, -0.009688970632851124, -0.4096810519695282, -0.08958294987678528, -0.19733235239982605, -0.023500949144363403, -0.7313970923423767], [-0.32928305864334106, -0.5492019653320312, -0.7704117298126221, -0.21570764482021332, -0.02127784490585327, -0.003493636380881071, -0.5795869827270508, -0.02736685797572136, -1.4067699909210205, -0.15669657289981842, -0.0030384347774088383, -0.9420890212059021], [-2.5792829990386963], [-0.32928305864334106, -0.5492019653320312, -0.7704117298126221, -0.21570764482021332, -0.02127784490585327, -0.003493636380881071, -0.5795869827270508, -0.02736685797572136, -4.531769752502441, -0.9059850573539734, -0.2736935615539551, -0.11096929013729095, -0.0034753421787172556, -1.6321091651916504], [-0.32928305864334106, -0.5492019653320312, -1.145411729812622, -0.0013817534781992435, -0.010139149613678455, -0.4102732539176941, -0.0961814597249031, -0.1974414587020874, -0.023960085585713387, -4.355777740478516, -0.04557880386710167, -0.005405453033745289, -0.0019629988819360733, -1.2983791828155518, -0.0025562725495547056, -0.014211401343345642, -0.5183196067810059, -0.08785563707351685], [-0.32928305864334106, -0.5492019653320312, -1.145411729812622, -0.0013817534781992435, -0.010139149613678455, -0.4102732539176941, -0.0961814597249031, -2.697441577911377, -0.22034384310245514, -0.014143350534141064, -0.4551452398300171], [-0.32928305864334106, -1.5492019653320312, -0.006412169896066189, -0.10406582802534103, -1.9221699237823486, -0.017951281741261482, -0.16740308701992035, -0.005696847103536129, -0.7462226152420044, -1.609330177307129, -2.063122034072876, -0.009024073369801044, -0.005175881553441286, -0.0019026764202862978, -6.4597578048706055, -0.44354891777038574, -0.11664741486310959], [-0.32928305864334106, -0.5492019653320312, -0.7704117298126221, -0.21570764482021332, -0.02127784490585327, -0.003493636380881071, -0.9545869827270508, -0.053284525871276855, -0.004156878218054771, -0.010836326517164707, -0.09279204159975052, -0.012789370492100716, -0.24596017599105835, -0.1291304975748062, -0.019367868080735207, -0.0014325842494145036, -0.002330684568732977, -0.0010787388309836388, -0.08290703594684601, -0.15566717088222504, -0.010666736401617527, -0.03806230053305626, -0.09110792726278305, -0.001690983772277832, -0.004496582318097353, -0.0005970602505840361, -0.05438036471605301, -0.00020239688456058502, -0.0002232540718978271, -0.03206966072320938, -0.1314232349395752], [-0.32928305864334106, -1.5492019653320312, -0.006412169896066189, -0.10406582802534103, -0.422169953584671, -0.004750750958919525, -0.05143103003501892, -0.018574584275484085, -0.8028702139854431], [-0.32928305864334106, -0.5492019653320312, -0.7704117298126221, -0.21570764482021332, -0.02127784490585327, -0.003493636380881071, -0.5795869827270508, -0.02736685797572136, -0.6567699313163757, -0.004771987907588482, -1.0376503467559814]]","search[get a tongue cleaner that is easy clean and use, and is also stainless steel, and price lower than 30.00 dollars]"
64,"get a tongue cleaner that is easy clean and use, and is also stainless steel, and price lower than 30.00 dollars","['reset', 'search[get a tongue cleaner easy clean use stainless steel]', 'click[B09N9M4NTJ]']","['click[B09N9M4NTJ]', 'click[B09N9M4NTJ]', 'click[B09N9M4NTJ]', 'click[B09N9M4NTJ]', 'click[B09N9M4NTJ]', 'click[B09N9M4NTJ]', 'click[B09N9M4NTJ]', 'click[B09N9M4NTJ]', 'click[B09N9M4NTJ]', 'click[B09N9M4NTJ]']","[[-0.011191098019480705, -0.010392360389232635, -6.711257447022945e-05, -0.00034957972820848227, -0.0017880895175039768, -1.9430925021879375e-05, -0.0006171943969093263, -1.8596476365928538e-05, -8.189342770492658e-05, -0.00019524575327523053, -0.010306823067367077], [-0.01077759824693203, -0.011864570900797844, -6.615896563744172e-05, -0.0003759154351428151, -0.001832593115977943, -1.966933996300213e-05, -0.000607782625593245, -1.680836794548668e-05, -7.497983460780233e-05, -0.00019274283840786666, -0.011154082603752613], [-0.01077759824693203, -0.011864570900797844, -6.615896563744172e-05, -0.0003759154351428151, -0.001832593115977943, -1.966933996300213e-05, -0.000607782625593245, -1.680836794548668e-05, -7.497983460780233e-05, -0.00019274283840786666, -0.011154082603752613], [-0.01077759824693203, -0.011864570900797844, -6.615896563744172e-05, -0.0003759154351428151, -0.001832593115977943, -1.966933996300213e-05, -0.000607782625593245, -1.680836794548668e-05, -7.497983460780233e-05, -0.00019274283840786666, -0.011154082603752613], [-0.01077759824693203, -0.011864570900797844, -6.615896563744172e-05, -0.0003759154351428151, -0.001832593115977943, -1.966933996300213e-05, -0.000607782625593245, -1.680836794548668e-05, -7.497983460780233e-05, -0.00019274283840786666, -0.011154082603752613], [-0.01077759824693203, -0.011864570900797844, -6.615896563744172e-05, -0.0003759154351428151, -0.001832593115977943, -1.966933996300213e-05, -0.000607782625593245, -1.680836794548668e-05, -7.497983460780233e-05, -0.00019274283840786666, -0.011154082603752613], [-0.01077759824693203, -0.011864570900797844, -6.615896563744172e-05, -0.0003759154351428151, -0.001832593115977943, -1.966933996300213e-05, -0.000607782625593245, -1.680836794548668e-05, -7.497983460780233e-05, -0.00019274283840786666, -0.011154082603752613], [-0.01077759824693203, -0.011864570900797844, -6.615896563744172e-05, -0.0003759154351428151, -0.001832593115977943, -1.966933996300213e-05, -0.000607782625593245, -1.680836794548668e-05, -7.497983460780233e-05, -0.00019274283840786666, -0.011154082603752613], [-0.01077759824693203, -0.011864570900797844, -6.615896563744172e-05, -0.0003759154351428151, -0.001832593115977943, -1.966933996300213e-05, -0.000607782625593245, -1.680836794548668e-05, -7.497983460780233e-05, -0.00019274283840786666, -0.011154082603752613], [-0.01077759824693203, -0.011864570900797844, -6.615896563744172e-05, -0.0003759154351428151, -0.001832593115977943, -1.966933996300213e-05, -0.000607782625593245, -1.680836794548668e-05, -7.497983460780233e-05, -0.00019274283840786666, -0.011154082603752613]]",click[Back to Search] 
64,"get a tongue cleaner that is easy clean and use, and is also stainless steel, and price lower than 30.00 dollars","['reset', 'search[get a tongue cleaner easy clean use stainless steel]', 'click[B09N9M4NTJ]', 'click[2 Pcs Metal Tongue Scraper,Tongue Scrapers for Adults Kids,Stainless Steel Tounge Scrappers,Tounge Scraper Cleaner,Portable Tongue Cleaner]']","['click[2 Pcs Metal Tongue Scraper,Tongue Scrapers for Adults Kids,Stainless Steel Tounge Scrappers,Tounge Scraper Cleaner,Portable Tongue Cleaner]', 'click[2 Pcs Metal Tongue Scraper,Tongue Scrapers for Adults Kids,Stainless Steel Tounge Scrappers,Tounge Scraper Cleaner,Portable Tongue Cleaner]', 'click[2 Pcs Metal Tongue Scraper,Tongue Scrapers for Adults Kids,Stainless Steel Tounge Scrappers,Tounge Scraper Cleaner,Portable Tongue Cleaner]', 'click[2 Pcs Metal Tongue Scraper,Tongue Scrapers for Adults Kids,Stainless Steel Tounge Scrappers,Tounge Scraper Cleaner,Portable Tongue Cleaner]', 'click[2 Pcs Metal Tongue Scraper,Tongue Scrapers for Adults Kids,Stainless Steel Tounge Scrappers,Tounge Scraper Cleaner,Portable Tongue Cleaner]', 'click[2 Pcs Metal Tongue Scraper,Tongue Scrapers for Adults Kids,Stainless Steel Tounge Scrappers,Tounge Scraper Cleaner,Portable Tongue Cleaner]', 'click[2 Pcs Metal Tongue Scraper,Tongue Scrapers for Adults Kids,Stainless Steel Tounge Scrappers,Tounge Scraper Cleaner,Portable Tongue Cleaner]', 'click[2 Pcs Metal Tongue Scraper,Tongue Scrapers for Adults Kids,Stainless Steel Tounge Scrappers,Tounge Scraper Cleaner,Portable Tongue Cleaner]', 'click[2 Pcs Metal Tongue Scraper,Tongue Scrapers for Adults Kids,Stainless Steel Tounge Scrappers,Tounge Scraper Cleaner,Portable Tongue Cleaner]', 'click[2 Pcs Metal Tongue Scraper,Tongue Scrapers for Adults Kids,Stainless Steel Tounge Scrappers,Tounge Scraper Cleaner,Portable Tongue Cleaner]']","[[-0.013782452791929245, -0.05375334993004799, -0.011899793520569801, -0.005186436232179403, -0.00034254882484674454, -0.0013362773461267352, -0.0003333727945573628, -3.576278118089249e-07, -0.000597179401665926, -1.4305012882687151e-05, -0.010912503115832806, -2.6940935640595853e-05, -2.7418097943154862e-06, -0.00022671037004329264, -0.00012778419477399439, -0.0019212374463677406, -0.0002335037279408425, -0.00025722055579535663, -0.0037967516109347343, -0.00025900822947733104, -4.529942543740617e-06, -0.0001932195882545784, -0.0003156163729727268, -5.936446541454643e-05, -3.909988299710676e-05, -0.00019178935326635838, -0.0009765623253770173, -0.0002917817619163543, -0.0001234931987710297, -1.5139465176616795e-05, -0.00035661060246638954, -0.004231784492731094, -0.0012735360069200397, -0.00025733973598107696, -4.1483970562694594e-05, -0.0001323135511483997, -0.03745252266526222], [-0.013782452791929245, -0.05375334993004799, -0.011899793520569801, -0.005186436232179403, -0.00034254882484674454, -0.0013362773461267352, -0.0003333727945573628, -3.576278118089249e-07, -0.000597179401665926, -1.4305012882687151e-05, -0.010912503115832806, -2.6940935640595853e-05, -2.7418097943154862e-06, -0.00022671037004329264, -0.00012778419477399439, -0.0019212374463677406, -0.0002335037279408425, -0.00025722055579535663, -0.0037967516109347343, -0.00025900822947733104, -4.529942543740617e-06, -0.0001932195882545784, -0.0003156163729727268, -5.936446541454643e-05, -3.909988299710676e-05, -0.00019178935326635838, -0.0009765623253770173, -0.0002917817619163543, -0.0001234931987710297, -1.5139465176616795e-05, -0.00035661060246638954, -0.004231784492731094, -0.0012735360069200397, -0.00025733973598107696, -4.1483970562694594e-05, -0.0001323135511483997, -0.03745252266526222], [-0.013782452791929245, -0.05375334993004799, -0.011899793520569801, -0.005186436232179403, -0.00034254882484674454, -0.0013362773461267352, -0.0003333727945573628, -3.576278118089249e-07, -0.000597179401665926, -1.4305012882687151e-05, -0.010912503115832806, -2.6940935640595853e-05, -2.7418097943154862e-06, -0.00022671037004329264, -0.00012778419477399439, -0.0019212374463677406, -0.0002335037279408425, -0.00025722055579535663, -0.0037967516109347343, -0.00025900822947733104, -4.529942543740617e-06, -0.0001932195882545784, -0.0003156163729727268, -5.936446541454643e-05, -3.909988299710676e-05, -0.00019178935326635838, -0.0009765623253770173, -0.0002917817619163543, -0.0001234931987710297, -1.5139465176616795e-05, -0.00035661060246638954, -0.004231784492731094, -0.0012735360069200397, -0.00025733973598107696, -4.1483970562694594e-05, -0.0001323135511483997, -0.03745252266526222], [-0.013782452791929245, -0.05375334993004799, -0.011899793520569801, -0.005186436232179403, -0.00034254882484674454, -0.0013362773461267352, -0.0003333727945573628, -3.576278118089249e-07, -0.000597179401665926, -1.4305012882687151e-05, -0.010912503115832806, -2.6940935640595853e-05, -2.7418097943154862e-06, -0.00022671037004329264, -0.00012778419477399439, -0.0019212374463677406, -0.0002335037279408425, -0.00025722055579535663, -0.0037967516109347343, -0.00025900822947733104, -4.529942543740617e-06, -0.0001932195882545784, -0.0003156163729727268, -5.936446541454643e-05, -3.909988299710676e-05, -0.00019178935326635838, -0.0009765623253770173, -0.0002917817619163543, -0.0001234931987710297, -1.5139465176616795e-05, -0.00035661060246638954, -0.004231784492731094, -0.0012735360069200397, -0.00025733973598107696, -4.1483970562694594e-05, -0.0001323135511483997, -0.03745252266526222], [-0.013782452791929245, -0.05375334993004799, -0.011899793520569801, -0.005186436232179403, -0.00034254882484674454, -0.0013362773461267352, -0.0003333727945573628, -3.576278118089249e-07, -0.000597179401665926, -1.4305012882687151e-05, -0.010912503115832806, -2.6940935640595853e-05, -2.7418097943154862e-06, -0.00022671037004329264, -0.00012778419477399439, -0.0019212374463677406, -0.0002335037279408425, -0.00025722055579535663, -0.0037967516109347343, -0.00025900822947733104, -4.529942543740617e-06, -0.0001932195882545784, -0.0003156163729727268, -5.936446541454643e-05, -3.909988299710676e-05, -0.00019178935326635838, -0.0009765623253770173, -0.0002917817619163543, -0.0001234931987710297, -1.5139465176616795e-05, -0.00035661060246638954, -0.004231784492731094, -0.0012735360069200397, -0.00025733973598107696, -4.1483970562694594e-05, -0.0001323135511483997, -0.03745252266526222], [-0.013782452791929245, -0.05375334993004799, -0.011899793520569801, -0.005186436232179403, -0.00034254882484674454, -0.0013362773461267352, -0.0003333727945573628, -3.576278118089249e-07, -0.000597179401665926, -1.4305012882687151e-05, -0.010912503115832806, -2.6940935640595853e-05, -2.7418097943154862e-06, -0.00022671037004329264, -0.00012778419477399439, -0.0019212374463677406, -0.0002335037279408425, -0.00025722055579535663, -0.0037967516109347343, -0.00025900822947733104, -4.529942543740617e-06, -0.0001932195882545784, -0.0003156163729727268, -5.936446541454643e-05, -3.909988299710676e-05, -0.00019178935326635838, -0.0009765623253770173, -0.0002917817619163543, -0.0001234931987710297, -1.5139465176616795e-05, -0.00035661060246638954, -0.004231784492731094, -0.0012735360069200397, -0.00025733973598107696, -4.1483970562694594e-05, -0.0001323135511483997, -0.03745252266526222], [-0.013782452791929245, -0.05375334993004799, -0.011899793520569801, -0.005186436232179403, -0.00034254882484674454, -0.0013362773461267352, -0.0003333727945573628, -3.576278118089249e-07, -0.000597179401665926, -1.4305012882687151e-05, -0.010912503115832806, -2.6940935640595853e-05, -2.7418097943154862e-06, -0.00022671037004329264, -0.00012778419477399439, -0.0019212374463677406, -0.0002335037279408425, -0.00025722055579535663, -0.0037967516109347343, -0.00025900822947733104, -4.529942543740617e-06, -0.0001932195882545784, -0.0003156163729727268, -5.936446541454643e-05, -3.909988299710676e-05, -0.00019178935326635838, -0.0009765623253770173, -0.0002917817619163543, -0.0001234931987710297, -1.5139465176616795e-05, -0.00035661060246638954, -0.004231784492731094, -0.0012735360069200397, -0.00025733973598107696, -4.1483970562694594e-05, -0.0001323135511483997, -0.03745252266526222], [-0.013782452791929245, -0.05375334993004799, -0.011899793520569801, -0.005186436232179403, -0.00034254882484674454, -0.0013362773461267352, -0.0003333727945573628, -3.576278118089249e-07, -0.000597179401665926, -1.4305012882687151e-05, -0.010912503115832806, -2.6940935640595853e-05, -2.7418097943154862e-06, -0.00022671037004329264, -0.00012778419477399439, -0.0019212374463677406, -0.0002335037279408425, -0.00025722055579535663, -0.0037967516109347343, -0.00025900822947733104, -4.529942543740617e-06, -0.0001932195882545784, -0.0003156163729727268, -5.936446541454643e-05, -3.909988299710676e-05, -0.00019178935326635838, -0.0009765623253770173, -0.0002917817619163543, -0.0001234931987710297, -1.5139465176616795e-05, -0.00035661060246638954, -0.004231784492731094, -0.0012735360069200397, -0.00025733973598107696, -4.1483970562694594e-05, -0.0001323135511483997, -0.03745252266526222], [-0.013782452791929245, -0.05375334993004799, -0.011899793520569801, -0.005186436232179403, -0.00034254882484674454, -0.0013362773461267352, -0.0003333727945573628, -3.576278118089249e-07, -0.000597179401665926, -1.4305012882687151e-05, -0.010912503115832806, -2.6940935640595853e-05, -2.7418097943154862e-06, -0.00022671037004329264, -0.00012778419477399439, -0.0019212374463677406, -0.0002335037279408425, -0.00025722055579535663, -0.0037967516109347343, -0.00025900822947733104, -4.529942543740617e-06, -0.0001932195882545784, -0.0003156163729727268, -5.936446541454643e-05, -3.909988299710676e-05, -0.00019178935326635838, -0.0009765623253770173, -0.0002917817619163543, -0.0001234931987710297, -1.5139465176616795e-05, -0.00035661060246638954, -0.004231784492731094, -0.0012735360069200397, -0.00025733973598107696, -4.1483970562694594e-05, -0.0001323135511483997, -0.03745252266526222], [-0.013782452791929245, -0.05375334993004799, -0.011899793520569801, -0.005186436232179403, -0.00034254882484674454, -0.0013362773461267352, -0.0003333727945573628, -3.576278118089249e-07, -0.000597179401665926, -1.4305012882687151e-05, -0.010912503115832806, -2.6940935640595853e-05, -2.7418097943154862e-06, -0.00022671037004329264, -0.00012778419477399439, -0.0019212374463677406, -0.0002335037279408425, -0.00025722055579535663, -0.0037967516109347343, -0.00025900822947733104, -4.529942543740617e-06, -0.0001932195882545784, -0.0003156163729727268, -5.936446541454643e-05, -3.909988299710676e-05, -0.00019178935326635838, -0.0009765623253770173, -0.0002917817619163543, -0.0001234931987710297, -1.5139465176616795e-05, -0.00035661060246638954, -0.004231784492731094, -0.0012735360069200397, -0.00025733973598107696, -4.1483970562694594e-05, -0.0001323135511483997, -0.03745252266526222]]",click[Back to Search] 
